feature,gain
M-hs_targeted,0.0023936091
M-youth_&_student_life,0.002384072
U-HM_R_single_science_&_technology,0.0023821224
U-HM_S_neg,0.0023718823
U-HM_S_GunningFogIndex,0.002370936
U-P_S_FolloweeNumDay,0.002368448
M-diaries_&_daily_life,0.002330693
M-other_hobbies,0.002329071
M-single_science_&_technology,0.0023274596
M-text_len,0.0022862458
U-HA_R_QuotedRate,0.002271067
U-P_S_FolloweeNum,0.0022377693
M-subjectivity,0.0022192965
M-emo_sadness,0.0022154865
U-HM_R_sentiment_overall,0.0021724715
M-topic_count,0.0021706207
M-food_&_dining,0.0021498255
M-science_&_technology,0.0021455819
U-P_S_TweetNumDay,0.0021335739
U-HM_R_hs_targeted,0.0020872946
M-music,0.0020499853
M-hs_aggressive,0.0020466486
U-HA_S_RetweetPercent,0.0020378686
U-HM_R_Kincaid,0.0020151648
U-HM_S_single_topic_count,0.002012637
M-emo_surprise,0.0019745068
M-single_sports_&_gaming,0.0019654424
U-P_R_FolloweeNum,0.0019482635
M-neg,0.0019480914
M-fitness_&_health,0.0019218059
U-HM_R_emo_surprise,0.0018765725
U-HM_S_family,0.0018696858
U-HM_S_emo_fear,0.0018449852
U-HM_R_news_&_social_concern,0.0018089288
M-emoji,0.0017973336
M-fashion_&_style,0.0017729228
U-HM_S_diaries_&_daily_life,0.001739025
M-complex_words_dc,0.0016860615
U-HM_S_single_topic_overall,0.001662948
U-HM_S_DaleChallIndex,0.0016302984
U-HM_S_complex_words,0.0016097787
U-HM_R_SMOGIndex,0.0015825366
M-emo_others,0.0015567481
U-HM_S_ARI,0.0015420998
U-HM_S_Coleman-Liau,0.0015312595
M-irony,0.0013735747
U-HM_S_subjectivity,0.001123821
M-RIX,0.00029944998
U-HM_S_Kincaid,0.00028758528
U-HM_S_LIX,0.0002336754
U-HA_R_TweetNum,0.00018109157
U-HM_S_grammar-sentence-score,0.0
M-sentiment_overall,0.0
M-grammar-word-score,0.0
M-grammar-sentence-score,0.0
M-complex_words,0.0
U-HM_R_grammar-word-score,0.0
M-hs_count,0.0
U-HM_S_grammar-word-score,0.0
M-single_topic_count,0.0
M-single_topic_overall,0.0
U-HA_R_MentionS,0.0
U-HA_R_MentionPerS,0.0
U-HM_R_grammar-sentence-score,0.0
U-HA_S_MentionPerR,0.0
U-P_R_activeBeforeP,0.0
U-P_R_SpreadActivity,0.0
U-P_R_ProfileUrl,0.0
U-P_S_SpreadActivity,0.0
U-HM_R_ARI,0.0
U-P_S_ProfileUrl,0.0
U-HA_S_TweetNum,0.0
hashtag,0.0
